"id","male","Eqp","Age","BodyweightKg","Y","super","obs","ratio","Age2"
26,0,3,36.5,51.9,145,1,9,2.79383429672447,1332.25
26,0,3,36.5,51.7,147.5,1,10,2.85299806576402,1332.25
26,0,3,37.5,51.5,145,1,11,2.81553398058252,1406.25
27,1,3,32,80.7,140,0,1,1.73482032218092,1024
27,1,3,34,81,220,1,2,2.71604938271605,1156
27,1,3,34,82.4,227.5,1,3,2.76092233009709,1156
27,1,3,35,81.8,200,0,4,2.44498777506112,1225
27,1,3,37,88.7,227.5,1,5,2.56482525366404,1369
27,1,4,39,83,165,0,6,1.98795180722892,1521
27,1,4,39,86,162.5,0,7,1.88953488372093,1521
27,1,4,41,87.6,185,0,8,2.11187214611872,1681
27,1,3,42,88.4,210,0,9,2.37556561085973,1764
27,1,4,43,91.1,182.5,0,10,2.0032930845225,1849
27,1,3,44,91.3,232.5,1,11,2.54654983570646,1936
27,1,3,46,90.5,227.5,1,12,2.51381215469613,2116
28,1,3,57.5,110,207.5,0,1,1.88636363636364,3306.25
28,1,2,70.5,103.87,120,0,2,1.1552902666795,4970.25
29,0,3,19.5,60,140,0,1,2.33333333333333,380.25
29,0,3,20.5,64.6,150,0,2,2.32198142414861,420.25
29,0,3,21.5,59.4,145,0,3,2.44107744107744,462.25
29,0,3,21.5,66.1,150,0,4,2.26928895612708,462.25
29,0,3,22.5,68.1,145,0,5,2.12922173274596,506.25
29,0,3,25.5,67.4,150,0,6,2.22551928783383,650.25
29,0,3,26.5,66.25,150,0,7,2.26415094339623,702.25
29,0,3,27.5,68.9,160,0,8,2.322206095791,756.25
29,0,3,27.5,67.15,160,0,9,2.38272524199553,756.25
29,0,3,28.5,67.4,167.5,0,10,2.48516320474777,812.25
29,0,3,29.5,67.2,175,1,11,2.60416666666667,870.25
29,0,3,30.5,68.35,177.5,1,12,2.59692757863936,930.25
30,0,1,16,67.5,170,1,1,2.51851851851852,256
30,0,1,16,59.95,150,1,2,2.50208507089241,256
30,0,3,18,64.41,158.76,0,3,2.46483465300419,324
30,0,3,18,64.41,167.83,1,4,2.60565129638255,324
30,0,1,19,64.2,157.5,0,5,2.45327102803738,361
30,0,1,19,60,155,1,6,2.58333333333333,361
30,0,1,20,66.2,157.5,0,7,2.37915407854985,400
30,0,3,25,65.6,170,1,8,2.59146341463415,625
30,0,1,25,66.32,185,1,9,2.78950542822678,625
30,0,3,25,66.1,192.5,1,10,2.91225416036309,625
30,0,1,26,67.5,207.5,1,11,3.07407407407407,676
30,0,1,26,67.5,207.5,1,12,3.07407407407407,676
31,1,2,25,82.5,235.87,1,1,2.8590303030303,625
31,1,2,30,82.5,263.08,1,2,3.18884848484848,900
31,1,3,41,82.5,295,1,3,3.57575757575758,1681
31,1,3,41,82.5,280,1,4,3.39393939393939,1681
31,1,3,41,82.5,280,1,5,3.39393939393939,1681
31,1,3,41,82.5,295,1,6,3.57575757575758,1681
31,1,3,42,82.5,297.5,1,7,3.60606060606061,1764
31,1,3,42,82.5,282.5,1,8,3.42424242424242,1764
31,1,3,52,90,235,1,9,2.61111111111111,2704
31,1,3,54,90,287.12,1,10,3.19022222222222,2916
31,1,3,61,89.81,272.5,1,11,3.03418327580448,3721
31,1,3,68,88.86,250,1,12,2.81341435966689,4624
32,1,3,61.5,75,202.5,1,1,2.7,3782.25
32,1,3,63,82.5,204.12,0,2,2.47418181818182,3969
32,1,3,63,82.5,217.72,1,3,2.6390303030303,3969
32,1,3,63,82.5,185,0,4,2.24242424242424,3969
32,1,3,63.5,82.5,192.5,0,5,2.33333333333333,4032.25
32,1,3,64,82.5,222.26,1,6,2.69406060606061,4096
32,1,1,65.5,90,182.5,0,7,2.02777777777778,4290.25
32,1,1,66,82.5,137.5,0,8,1.66666666666667,4356
32,1,1,68.5,90,190,0,9,2.11111111111111,4692.25
32,1,1,69,90,60,0,10,0.666666666666667,4761
32,1,1,70,82.5,185,0,11,2.24242424242424,4900
32,1,1,72,82.5,65,0,12,0.787878787878788,5184
33,1,3,45.5,125,240,0,1,1.92,2070.25
33,1,3,46.5,125,225,0,2,1.8,2162.25
33,1,3,53.5,115.9,240,0,3,2.07075064710958,2862.25
33,1,3,55.5,118.45,250,0,4,2.11059518784297,3080.25
33,1,3,57.5,118.25,210,0,5,1.77589852008457,3306.25
33,1,4,58.5,122.5,215,0,6,1.75510204081633,3422.25
33,1,4,58.5,121.35,225,0,7,1.85414091470952,3422.25
33,1,3,59.5,118.85,235,0,8,1.97728228859907,3540.25
33,1,4,59.5,118.04,215,0,9,1.82141646899356,3540.25
33,1,4,60.5,118.45,215,0,10,1.81511186154496,3660.25
33,1,3,60.5,122.68,230,0,11,1.87479621780241,3660.25
33,1,4,61.5,118.35,175,0,12,1.47866497676384,3782.25
34,1,3,21.5,89.5,220,0,1,2.45810055865922,462.25
34,1,3,28.5,100,292.5,1,2,2.925,812.25
34,1,3,29.5,96.8,315,1,3,3.25413223140496,870.25
34,1,3,30.5,100,315,1,4,3.15,930.25
34,1,3,30.5,100.6,305,1,5,3.03180914512922,930.25
34,1,3,31.5,100,310,1,6,3.1,992.25
34,1,3,32.5,99.9,332.5,1,7,3.32832832832833,1056.25
34,1,3,33.5,99.9,330,1,8,3.3033033033033,1122.25
34,1,3,40.5,104,300,1,9,2.88461538461538,1640.25
34,1,3,42.5,101,290,1,10,2.87128712871287,1806.25
34,1,3,47.5,103,200,0,11,1.94174757281553,2256.25
34,1,4,54.5,100.25,220,0,12,2.19451371571072,2970.25
35,1,3,44.5,87.3,255,1,1,2.92096219931272,1980.25
35,1,3,45.5,88.6,262.5,1,2,2.9627539503386,2070.25
35,1,3,49.5,88.3,235.03,1,3,2.66172140430351,2450.25
35,1,3,50.5,88.9,247.5,1,4,2.78402699662542,2550.25
35,1,3,54.5,90.7,240,1,5,2.64608599779493,2970.25
35,1,3,59.5,91.24,237.5,1,6,2.60302498903989,3540.25
35,1,3,60.5,91.91,252.5,1,7,2.74725274725275,3660.25
35,1,3,61.5,90.65,245,1,8,2.7027027027027,3782.25
36,1,3,43,103.6,192.5,0,1,1.85810810810811,1849
36,1,3,43,98.16,177.5,0,2,1.80827220863896,1849
36,1,3,44,105.91,227.5,0,3,2.14805023132849,1936
36,1,3,45,108.14,232.5,0,4,2.14999075272795,2025
36,1,3,45,108.14,232.5,0,5,2.14999075272795,2025
36,1,2,51,104.8,165,0,6,1.57442748091603,2601
36,1,2,51,104.8,165,0,7,1.57442748091603,2601
36,1,2,52,107.4,185,0,8,1.72253258845438,2704
36,1,2,52,107.1,205,0,9,1.9140989729225,2704
36,1,2,54,107.6,202.5,0,10,1.88197026022305,2916
37,0,3,17.5,78,132.5,0,1,1.69871794871795,306.25
37,0,3,18.5,78.5,142.5,0,2,1.81528662420382,342.25
37,0,3,20.5,84.5,155,0,3,1.83431952662722,420.25
37,0,3,21.5,90.1,175,0,4,1.94228634850167,462.25
37,0,3,23.5,89.8,190,0,5,2.11581291759465,552.25
37,0,3,25.5,101.7,212.5,0,6,2.08947885939036,650.25
37,0,3,27.5,108.38,217.5,0,7,2.00682782801255,756.25
37,0,3,29.5,105.8,225,0,8,2.12665406427221,870.25
37,0,3,30.5,108.1,230,0,9,2.12765957446809,930.25
37,0,3,33.5,112.31,227.5,0,10,2.02564330869914,1122.25
37,0,3,36.5,110.55,230,0,11,2.0805065581185,1332.25
37,0,3,39.5,113.5,197.5,0,12,1.74008810572687,1560.25
38,1,3,37.5,90,225,1,1,2.5,1406.25
38,1,3,39.5,100,235,0,2,2.35,1560.25
38,1,3,41.5,100,235,0,3,2.35,1722.25
38,1,3,49.5,92.5,200,0,4,2.16216216216216,2450.25
38,1,3,50.5,90.4,220,0,5,2.43362831858407,2550.25
38,1,3,52,92.2,205,0,6,2.2234273318872,2704
38,1,3,52.5,93.7,220,0,7,2.34791889007471,2756.25
38,1,4,52.5,94.7,180,0,8,1.90073917634636,2756.25
38,1,3,52.5,92.7,220,0,9,2.37324703344121,2756.25
38,1,3,53.5,94.5,200,0,10,2.11640211640212,2862.25
38,1,4,54.5,92.7,180,0,11,1.94174757281553,2970.25
38,1,4,55.5,88.6,180,0,12,2.03160270880361,3080.25
39,1,1,25.5,67.5,249.48,1,1,3.696,650.25
39,1,1,26.5,67.5,226.8,1,2,3.36,702.25
39,1,1,32.5,75,303.91,1,3,4.05213333333333,1056.25
39,1,1,33.5,75,308.44,1,4,4.11253333333333,1122.25
39,1,1,35.5,75,322.05,1,5,4.294,1260.25
39,1,1,37.5,75,299.37,1,6,3.9916,1406.25
39,1,1,38.5,75,317.51,1,7,4.23346666666667,1482.25
39,1,1,38.5,75,331.12,1,8,4.41493333333333,1482.25
39,1,4,39.5,75,226.8,1,9,3.024,1560.25
39,1,1,45.5,74.43,294.84,1,10,3.96130592503023,2070.25
39,1,1,46.5,74.8,299.37,1,11,4.00227272727273,2162.25
39,1,1,48,78.15,319.78,1,12,4.09187460012796,2304
40,1,3,23.5,56,177.5,1,1,3.16964285714286,552.25
40,1,3,25.5,59.1,197.5,1,2,3.34179357021997,650.25
